stratum,stratum_label,marker,spearman_rho,p_raw,p_bonferroni,n,significant_bonf,significant_raw
MSS_TP53wt,MSS/MSI-L + TP53-wt,immune_proxy,-0.0989,0.15411198601617426,1.0,209,False,False
MSS_TP53wt,MSS/MSI-L + TP53-wt,CD8A,-0.0837,0.22846763913053975,1.0,209,False,False
MSS_TP53wt,MSS/MSI-L + TP53-wt,IFNG,-0.0758,0.27551379960877126,1.0,209,False,False
MSS_TP53wt,MSS/MSI-L + TP53-wt,CXCL10,-0.2311,0.0007592491823644045,0.01518498364728809,209,True,True
MSS_TP53wt,MSS/MSI-L + TP53-wt,GZMB,0.0117,0.8661845130356516,1.0,209,False,False
MSS_TP53wt,MSS/MSI-L + TP53-wt,PRF1,-0.081,0.2438823404673874,1.0,209,False,False
MSS_TP53wt,MSS/MSI-L + TP53-wt,exhaustion_score,-0.1662,0.016169649739619915,0.3233929947923983,209,False,True
MSS_TP53wt,MSS/MSI-L + TP53-wt,ee_ratio,0.1668,0.015758179744410593,0.3151635948882119,209,False,True
MSS_TP53wt,MSS/MSI-L + TP53-wt,HAVCR2,-0.3487,2.2823389663637037e-07,4.564677932727407e-06,209,True,True
MSS_TP53wt,MSS/MSI-L + TP53-wt,LAG3,-0.0598,0.3901064538862743,1.0,209,False,False
MSS_TP53wt,MSS/MSI-L + TP53-wt,PDCD1,0.0722,0.29907944404619446,1.0,209,False,False
MSS_TP53wt,MSS/MSI-L + TP53-wt,TIGIT,-0.1553,0.024750255675916908,0.49500511351833815,209,False,True
MSS_TP53wt,MSS/MSI-L + TP53-wt,ENPP1,-0.0269,0.6991715527672342,1.0,209,False,False
MSS_TP53wt,MSS/MSI-L + TP53-wt,TREX1,0.3151,3.376146924477779e-06,6.752293848955558e-05,209,True,True
MSS_TP53wt,MSS/MSI-L + TP53-wt,CD274,-0.1662,0.01619830306065092,0.3239660612130184,209,False,True
MSS_TP53wt,MSS/MSI-L + TP53-wt,CGAS,-0.2084,0.002467116114738898,0.04934232229477796,209,True,True
MSS_TP53wt,MSS/MSI-L + TP53-wt,STING1,0.1217,0.0791996097616466,1.0,209,False,False
MSS_TP53wt,MSS/MSI-L + TP53-wt,acute_sting,-0.1741,0.01171232533616569,0.2342465067233138,209,False,True
MSS_TP53wt,MSS/MSI-L + TP53-wt,chronic_sting,0.1123,0.10550872784327081,1.0,209,False,False
MSS_TP53wt,MSS/MSI-L + TP53-wt,sting_ratio,-0.2156,0.0017139880480115197,0.034279760960230395,209,True,True
MSS_TP53mut,MSS/MSI-L + TP53-mut,immune_proxy,-0.0365,0.5388321365460991,1.0,286,False,False
MSS_TP53mut,MSS/MSI-L + TP53-mut,CD8A,-0.025,0.6742085036985919,1.0,286,False,False
MSS_TP53mut,MSS/MSI-L + TP53-mut,IFNG,-0.0748,0.20727034975828126,1.0,286,False,False
MSS_TP53mut,MSS/MSI-L + TP53-mut,CXCL10,-0.1197,0.04303928022169201,0.8607856044338402,286,False,True
MSS_TP53mut,MSS/MSI-L + TP53-mut,GZMB,-0.0128,0.8287520667267718,1.0,286,False,False
MSS_TP53mut,MSS/MSI-L + TP53-mut,PRF1,0.0307,0.6056767073380073,1.0,286,False,False
MSS_TP53mut,MSS/MSI-L + TP53-mut,exhaustion_score,-0.0494,0.4052445998655325,1.0,286,False,False
MSS_TP53mut,MSS/MSI-L + TP53-mut,ee_ratio,0.091,0.12467154154596866,1.0,286,False,False
MSS_TP53mut,MSS/MSI-L + TP53-mut,HAVCR2,-0.1336,0.023805120597434757,0.4761024119486951,286,False,True
MSS_TP53mut,MSS/MSI-L + TP53-mut,LAG3,0.0414,0.48551187327449197,1.0,286,False,False
MSS_TP53mut,MSS/MSI-L + TP53-mut,PDCD1,0.0748,0.20695689284722577,1.0,286,False,False
MSS_TP53mut,MSS/MSI-L + TP53-mut,TIGIT,-0.0752,0.20479579788668864,1.0,286,False,False
MSS_TP53mut,MSS/MSI-L + TP53-mut,ENPP1,-0.1045,0.0776374373739309,1.0,286,False,False
MSS_TP53mut,MSS/MSI-L + TP53-mut,TREX1,0.2118,0.0003088733416771083,0.006177466833542166,286,True,True
MSS_TP53mut,MSS/MSI-L + TP53-mut,CD274,-0.0853,0.15040364001192097,1.0,286,False,False
MSS_TP53mut,MSS/MSI-L + TP53-mut,CGAS,-0.1357,0.021734783857577586,0.4346956771515517,286,False,True
MSS_TP53mut,MSS/MSI-L + TP53-mut,STING1,0.1141,0.05386252146794654,1.0,286,False,False
MSS_TP53mut,MSS/MSI-L + TP53-mut,acute_sting,-0.0741,0.21131387942221214,1.0,286,False,False
MSS_TP53mut,MSS/MSI-L + TP53-mut,chronic_sting,0.0853,0.150188339946558,1.0,286,False,False
MSS_TP53mut,MSS/MSI-L + TP53-mut,sting_ratio,-0.1373,0.020207760851356976,0.4041552170271395,286,False,True
MSIH_TP53wt,MSI-H + TP53-wt,immune_proxy,0.0515,0.6790680515749059,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,CD8A,0.0022,0.9856797822304826,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,IFNG,0.0314,0.8005572202419307,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,CXCL10,0.0134,0.9142361420053498,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,GZMB,0.0564,0.6501413311593784,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,PRF1,0.1378,0.26611940488911057,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,exhaustion_score,-0.0299,0.8104880306866808,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,ee_ratio,0.131,0.2907488899043903,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,HAVCR2,-0.0796,0.5222008923082847,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,LAG3,0.0186,0.881513441532906,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,PDCD1,0.1471,0.23487964956267884,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,TIGIT,-0.003,0.9809497650857936,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,ENPP1,0.0479,0.700240361808471,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,TREX1,0.1633,0.18680425538676804,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,CD274,0.1669,0.17700494156378396,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,CGAS,0.3204,0.008205776539689973,0.16411553079379945,67,False,True
MSIH_TP53wt,MSI-H + TP53-wt,STING1,0.1395,0.2602913170004804,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,acute_sting,0.0049,0.9686807404831488,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,chronic_sting,0.3522,0.0034651848977673076,0.06930369795534615,67,False,True
MSIH_TP53wt,MSI-H + TP53-wt,sting_ratio,-0.2501,0.04126305812482289,0.8252611624964579,67,False,True
MSIH_TP53mut,MSI-H + TP53-mut,immune_proxy,-0.1533,0.43621458328291596,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,CD8A,-0.0334,0.8660602737371457,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,IFNG,0.092,0.6416600274082447,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,CXCL10,-0.075,0.704513791666417,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,GZMB,0.0224,0.9097550550840692,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,PRF1,-0.1182,0.5490517704141913,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,exhaustion_score,-0.3853,0.042869558211389124,0.8573911642277825,28,False,True
MSIH_TP53mut,MSI-H + TP53-mut,ee_ratio,0.5829,0.001132667126188635,0.0226533425237727,28,True,True
MSIH_TP53mut,MSI-H + TP53-mut,HAVCR2,-0.4784,0.010023376837100117,0.20046753674200235,28,False,True
MSIH_TP53mut,MSI-H + TP53-mut,LAG3,-0.2731,0.15964828536673217,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,PDCD1,-0.1221,0.536084917236463,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,TIGIT,-0.1461,0.45805835834299147,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,ENPP1,-0.2945,0.1282314735290362,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,TREX1,0.3716,0.051497981177966154,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,CD274,-0.2386,0.22134107055192595,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,CGAS,-0.249,0.20125852984110953,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,STING1,-0.116,0.5565261502249992,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,acute_sting,-0.3038,0.11605529821938772,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,chronic_sting,-0.3903,0.04006113976715791,0.8012227953431582,28,False,True
MSIH_TP53mut,MSI-H + TP53-mut,sting_ratio,0.1056,0.5926515354824006,1.0,28,False,False
